trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.3, 'e': 0.44932896411722156}",35,0,-34.584822368734265,"{0: 30, 1: 3, 2: 0, 3: 1, 4: 1}",0
81,False,"{'a': 0.3, 'e': 0.4448580662229411}",30,0,-69.23621106635322,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
82,False,"{'a': 0.3, 'e': 0.44043165450599925}",30,3,-87.24660770925793,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 2}",1
83,False,"{'a': 0.3, 'e': 0.43604928632153556}",25,0,-76.76932070984563,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
84,False,"{'a': 0.3, 'e': 0.43171052342907973}",35,22,-3.487900472969983,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.3, 'e': 0.4274149319487267}",25,3,19.86808434136896,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.3, 'e': 0.4231620823177488}",20,0,-96.69796174561941,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
87,False,"{'a': 0.3, 'e': 0.418951549247639}",30,0,-43.0453492111242,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
88,False,"{'a': 0.3, 'e': 0.4147829116815814}",20,0,15.860819491622863,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.3, 'e': 0.4106557527523455}",20,15,-4.352572332074758,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.3, 'e': 0.4065696597405991}",25,9,-65.4542698039771,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
91,False,"{'a': 0.3, 'e': 0.40252422403363597}",25,6,-55.85920471082636,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
92,False,"{'a': 0.3, 'e': 0.39851904108451414}",25,16,-18.22776507363832,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.3, 'e': 0.3945537103716011}",35,14,-38.512683382805115,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.3906278353585211}",25,0,-14.863618188791227,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
95,False,"{'a': 0.3, 'e': 0.3867410234545012}",20,0,4.888365150522387,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
96,False,"{'a': 0.3, 'e': 0.38289288597511206}",20,0,2.1117347903243058,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.3, 'e': 0.37908303810339883}",20,14,5.692023349339649,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.3, 'e': 0.37531109885139957}",30,8,15.774704743766973,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.3, 'e': 0.3715766910220457}",20,10,15.476756932094712,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.3, 'e': 0.36787944117144233}",25,19,10.0229650472326,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.3, 'e': 0.3642189795715233}",30,12,-16.23266458053955,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.3605949401730783}",30,17,-34.263773854451614,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
103,False,"{'a': 0.3, 'e': 0.3570069605691474}",25,7,-33.1376994243696,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.3, 'e': 0.35345468195878016}",25,17,16.453469597617417,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.3499377491111553}",35,0,-33.12609082675718,"{0: 29, 1: 3, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.3, 'e': 0.3464558103300574}",20,10,-41.105661520654564,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
107,False,"{'a': 0.3, 'e': 0.34300851741870664}",25,11,-61.72369977740725,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 1}",1
108,False,"{'a': 0.3, 'e': 0.3395955256449391}",25,9,-7.0067124287166065,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.3, 'e': 0.33621649370673334}",20,0,-61.343061339187344,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
110,False,"{'a': 0.3, 'e': 0.33287108369807955}",20,0,-65.64731268188903,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
111,False,"{'a': 0.3, 'e': 0.32955896107518906}",20,10,-118.50501910721246,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 3}",1
112,False,"{'a': 0.3, 'e': 0.32627979462303947}",25,15,-8.878653905404569,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.3230332564222529}",20,11,-27.074874792889744,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.3, 'e': 0.31981902181630384}",30,0,-141.8202956327178,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
115,False,"{'a': 0.3, 'e': 0.31663676937905316}",30,0,42.3506055505638,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.3, 'e': 0.3134861808826053}",25,18,16.707852840829936,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.31036694126548503}",20,10,-15.407229976575278,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.30727873860113125}",20,12,1.0345000194187137,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.3, 'e': 0.3042212640667041}",20,2,-16.67300799925622,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.3, 'e': 0.30119421191220214}",25,16,-8.210272168848723,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.2981972794298874}",25,8,-10.767062515694436,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.2952301669240142}",20,0,-93.92332939288526,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
123,False,"{'a': 0.3, 'e': 0.2922925776808594}",25,0,36.841672022981356,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.3, 'e': 0.2893842179390506}",30,7,25.74921717697161,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.2865047968601901}",20,0,-37.742027801863365,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
126,False,"{'a': 0.3, 'e': 0.2836540264997704}",25,5,24.76551444678278,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.2808316217783798}",30,0,-29.433127887601966,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
128,False,"{'a': 0.3, 'e': 0.27803730045319414}",20,8,23.543081329830052,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.27527078308975234}",35,23,-21.854882391976897,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.3, 'e': 0.2725317930340126}",25,0,-57.823561840771546,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
131,False,"{'a': 0.3, 'e': 0.2698200563846868}",20,0,-12.141205606130892,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
132,False,"{'a': 0.3, 'e': 0.26713530196585034}",20,16,9.290453110434004,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.26447726129982396}",20,5,-55.78545216236518,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
134,False,"{'a': 0.3, 'e': 0.261845668580326}",20,0,29.125759808209974,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.3, 'e': 0.2592402606458915}",20,0,32.6622303373124,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.2566607769535559}",35,0,-11.340248328476825,"{0: 32, 1: 0, 2: 2, 3: 0, 4: 1}",0
137,False,"{'a': 0.3, 'e': 0.25410695955280027}",20,1,-20.356183035459406,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.25157855305975646}",20,0,-30.503108857632412,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
139,False,"{'a': 0.3, 'e': 0.24907530463166816}",25,6,-46.9505757342034,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
140,False,"{'a': 0.3, 'e': 0.24659696394160643}",20,6,10.977649876423081,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.3, 'e': 0.2441432831534371}",25,6,-18.81358055533504,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.3, 'e': 0.24171401689703645}",20,0,-26.39149538606951,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
143,False,"{'a': 0.3, 'e': 0.23930892224375455}",25,15,4.287183914419983,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.3, 'e': 0.23692775868212176}",20,2,13.937854881553166,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.23457028809379765}",20,2,10.985485994440698,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.23223627472975883}",20,9,0.19021786534161533,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.3, 'e': 0.22992548518672384}",25,9,13.386797685029066,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.3, 'e': 0.22763768838381274}",25,7,-9.521163873948497,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.3, 'e': 0.22537265553943872}",25,10,3.9274372435286296,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
